"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
"시민안전비상벨_01",02,05,제주시 삼무로 56,제주특별자치도 제주시 삼무로 56,제주특별자치도 제주시 연동 282-3,33.4896140,126.4925948,03,Y,N,N,쌍방통화가능,2018,2019-05-30,Y,제주시청,064-728-3753,2019-05-30
"시민안전비상벨_02",02,05,제주시 중앙로 244,제주특별자치도 제주시 중앙로 244,제주특별자치도 제주시 이도2동 1185-20,33.4980852,126.5307268,03,Y,N,N,쌍방통화가능,2018,2019-05-30,Y,제주시청,064-728-3753,2019-06-11
"공중화장실_안전비상벨_2016001",01,02,바오젠거리,제주특별자치도 제주시 신대로12길 54,,33.488942103,126.490899209,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016002",01,02,노형근린공원,제주특별자치도 제주시 과원북로4길 12,,33.4800943,126.4825358,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016003",01,02,오일시장B(문화광장),제주특별자치도 제주시 오일장서길 26,,33.4974552,126.4747907,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016004",01,02,도두봉섬머리,제주특별자치도 제주시 서해안로 197,,33.5060179,126.4690627,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016005",01,02,공항입구주차장,제주특별자치도 제주시 다호북길 7,,33.5036757487,126.4957118,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016006",01,02,모충사,제주특별자치도 제주시 사라봉길 75,,33.5164215,126.5470246,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016007",01,02,중앙로한짓골 주차장,,제주특별자치도 제주시 이도1동 1491-1,33.5109566,126.5234211,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016008",01,02,동문공설시장,,제주특별자치도 제주시 일도1동 1103,33.5120807,126.5283388,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016009",01,02,인제 공영주차장,제주특별자치도 제주시 고마로19길 5,,33.5046572,126.5423641,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016010",01,02,한림매일시장,제주특별자치도 제주시 한림복동길 7-6,,33.4996213,126.5311884,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016011",01,02,협재해수욕장,,제주특별자치도 제주시 한림읍 협재리 2447,33.3938461,126.2397141,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016012",01,02,곽지해수욕장,,제주특별자치도 제주시 애월읍 곽지리 1566,33.4499354,126.3041839,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016013",01,02,서문공설시장,제주특별자치도 제주시 서문로4길 13-2,,33.5113829,126.5179733,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016014",01,02,법원북측 공영주차장,,제주특별자치도 제주시 이도2동 1066,33.4883148,126.5223777,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016015",01,02,시민복지타운광장,,제주특별자치도 제주시 도남동 582,33.4917058,126.5228452,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016016",01,02,세화항포구,제주특별자치도 제주시 구좌읍 해맞이해안로 1391,,33.5275939,126.8566925,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016017",01,02,창흥동해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 1973,,33.5135017,126.8988856,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016018",01,02,동백동산 화장실,,제주특별자치도 제주시 조천읍 선흘리 산 12,33.5170339,126.7176118,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016019",01,02,서우봉해변관리사무소,,제주특별자치도 제주시 조천읍 함덕리 산14-47,33.5424118,126.670084,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2016020",01,02,자구네포구,제주특별자치도 제주시 노을해안로 1161,,33.3093262538,126.165157889,03,Y,N,N,경고등+경보음+음성자동인식,2016,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017001",01,02,납읍난대림공중화장실,제주특별자치도 제주시 애월읍 납읍로2길 36,,33.4357274,126.3298393,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017002",01,02,곽지과물해변 동측,,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017003",01,02,연동공원,제주특별자치도 제주시 신광로12길 17,,33.4824026222,126.487998026,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017004",01,02,용담공원,제주특별자치도 제주시 용두암길 15,,33.5149624,126.5116869,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
"공중화장실_안전비상벨_2017005",01,02,어영공원,제주특별자치도 제주시 서해안로 451,,33.5183454006,126.487558183,03,Y,N,N,경고등+경보음+음성자동인식,2017,2018-05-30,Y,제주시청 환경관리과,064-728-2192,2019-05-30
