,주소,개수
0,성산읍,183
1,남원읍,163
2,법환동,39
3,서호동,97
4,하효동,19
5,건입동,132
6,동홍동,150
7,토평동,53
8,이호1동,5
9,이호동,8
10,외도1동,105
11,외도2동,0
12,도련1동,70
13,도련2동,26
14,강정동,135
15,서홍동,129
16,안덕면,146
17,대정읍,205
18,상예,39
19,도순,35
20,서귀동,196
21,표선면,149
22,상효동,24
23,하예동,26
24,월평동,31
25,색달동,16
26,회수동,5
27,호근동,39
28,보목동,12
29,신효동,49
30,용담1동,100
31,용담2동,126
32,용담3동,50
33,삼도1동,69
34,삼도2동,202
35,회천동,17
36,애월읍,333
37,오등동,4
38,삼양1동,61
39,삼양2동,93
40,삼양3동,0
41,추자면,5
42,한림읍,166
43,월평동,31
44,화북1동,138
45,화북2동,52
46,아라1동,138
47,아라2동,35
48,구좌읍,149
49,해안동,8
50,도평동,34
51,용강동,5
52,연동,261
53,봉개동,27
54,조천읍,201
55,우도면,11
56,오라1동,9
57,오라2동,48
58,오라3동,20
59,도두1동,33
60,도두2동,0
61,도남동,88
62,이도1동,69
63,이도2동,316
64,일도1동,47
65,일도2동,346
66,한경면,83
67,노형동,305
68,영평동,44
69,대포동,8
70,중문동,41
71,하원동,28
72,영남동,0
73,내도동,4
