성산읍,"{'시설물관리': 1, '생활방범': 21, '농어촌다목적': 3, 'BIS': 4, '어린이안전용': 16}"
남원읍,"{'시설물관리': 1, '생활방범': 10, '농어촌다목적': 9, 'BIS': 6, '어린이안전용': 22}"
법환동,"{'생활방범': 4, '어린이안전용': 5}"
서호동,"{'생활방범': 4, '어린이안전용': 18}"
하효동,"{'생활방범': 4, '농어촌다목적': 1}"
건입동,"{'생활방범': 19, '어린이안전용': 14}"
동홍동,"{'생활방범': 10, '농어촌다목적': 2, '어린이안전용': 26}"
토평동,"{'생활방범': 8, '어린이안전용': 5}"
이호1동,"{'생활방범': 1, '어린이안전용': 1}"
이호동,{'생활방범': 2}
외도1동,"{'생활방범': 6, '어린이안전용': 16}"
외도2동,{}
도련1동,"{'생활방범': 3, '어린이안전용': 12}"
도련2동,"{'생활방범': 2, '어린이안전용': 4}"
강정동,"{'생활방범': 15, '농어촌다목적': 1, '어린이안전용': 16}"
서홍동,"{'생활방범': 5, '어린이안전용': 25}"
안덕면,"{'시설물관리': 1, '생활방범': 10, '농어촌다목적': 6, 'BIS': 8, '어린이안전용': 16}"
대정읍,"{'시설물관리': 4, '생활방범': 11, '농어촌다목적': 1, 'BIS': 2, '어린이안전용': 31}"
상예,"{'생활방범': 5, '농어촌다목적': 1, '어린이안전용': 2}"
도순,"{'생활방범': 3, '어린이안전용': 3, '학교방범': 1}"
서귀동,"{'시설물관리': 1, '생활방범': 27, 'BIS': 1, '어린이안전용': 18}"
표선면,"{'시설물관리': 11, '생활방범': 7, '농어촌다목적': 8, 'BIS': 6, '어린이안전용': 13}"
상효동,"{'시설물관리': 2, 'BIS': 2, '어린이안전용': 3}"
하예동,"{'생활방범': 5, '어린이안전용': 1}"
월평동,"{'생활방범': 3, '어린이안전용': 4}"
색달동,{'생활방범': 4}
회수동,{'생활방범': 1}
호근동,"{'생활방범': 5, '어린이안전용': 3}"
보목동,{'어린이안전용': 3}
신효동,"{'생활방범': 7, '어린이안전용': 5}"
용담1동,"{'시설물관리': 2, '생활방범': 13, '어린이안전용': 4}"
용담2동,"{'생활방범': 21, '어린이안전용': 8}"
용담3동,"{'생활방범': 6, '어린이안전용': 4}"
삼도1동,"{'시설물관리': 1, '생활방범': 9, '어린이안전용': 6}"
삼도2동,"{'시설물관리': 2, '생활방범': 35, '어린이안전용': 12}"
회천동,{'생활방범': 4}
애월읍,"{'시설물관리': 3, '생활방범': 30, 'BIS': 4, '어린이안전용': 40}"
오등동,{'생활방범': 1}
삼양1동,"{'시설물관리': 2, '생활방범': 6, '어린이안전용': 4}"
삼양2동,"{'생활방범': 4, '어린이안전용': 16}"
삼양3동,{}
추자면,{'어린이안전용': 2}
한림읍,"{'시설물관리': 3, '생활방범': 20, '농어촌다목적': 1, 'BIS': 2, '어린이안전용': 17}"
화북1동,"{'생활방범': 13, '어린이안전용': 19}"
화북2동,"{'생활방범': 9, '어린이안전용': 3}"
아라1동,"{'생활방범': 9, '어린이안전용': 22}"
아라2동,"{'생활방범': 5, '어린이안전용': 3}"
구좌읍,"{'생활방범': 10, 'BIS': 9, '어린이안전용': 21}"
해안동,{'어린이안전용': 2}
도평동,"{'생활방범': 3, '어린이안전용': 4}"
용강동,{'생활방범': 1}
연동,"{'생활방범': 25, '어린이안전용': 38}"
봉개동,"{'생활방범': 3, '어린이안전용': 3}"
조천읍,"{'시설물관리': 4, '생활방범': 17, '농어촌다목적': 1, 'BIS': 4, '어린이안전용': 24}"
우도면,{'어린이안전용': 3}
오라1동,{'생활방범': 2}
오라2동,"{'시설물관리': 1, '생활방범': 7, '어린이안전용': 7}"
오라3동,"{'생활방범': 3, '어린이안전용': 2}"
도두1동,"{'생활방범': 1, '어린이안전용': 6}"
도두2동,{}
도남동,"{'시설물관리': 1, '생활방범': 8, '어린이안전용': 12}"
이도1동,"{'시설물관리': 1, '생활방범': 9, '어린이안전용': 6}"
이도2동,"{'생활방범': 26, '어린이안전용': 48}"
일도1동,"{'생활방범': 11, '어린이안전용': 1}"
일도2동,"{'시설물관리': 1, '생활방범': 40, '어린이안전용': 35}"
한경면,"{'생활방범': 6, '농어촌다목적': 1, 'BIS': 4, '어린이안전용': 10}"
노형동,"{'생활방범': 18, '어린이안전용': 57}"
영평동,"{'생활방범': 6, '어린이안전용': 4}"
대포동,"{'생활방범': 1, '어린이안전용': 1}"
중문동,"{'생활방범': 3, 'BIS': 2, '어린이안전용': 7}"
하원동,"{'시설물관리': 3, '생활방범': 1, '농어촌다목적': 1, '어린이안전용': 3}"
영남동,{}
내도동,{'생활방범': 1}
