구분,경기장,종목,위치,위도,경도,전화번호,상세정보,데이터기준일자
게이트볼장,보성리전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 대정읍 보성리 1587-1외 3필지,33.2510008,126.2707121,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,태흥리농어촌복합체육시설,게이트볼,제주특별자치도 서귀포시 남원읍 태흥리 365-5,33.2922889,126.7393618,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,성산읍전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 서성일로 1222번길 36,33.444747,126.911791,064-760-4218,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,성산서부전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 신난로 16,33.3940876,126.8787371,064-760-4218,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,표선전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 표선면 한마음초등로 396,33.3532214,126.8135845,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,대정전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 최남단해안로 109번길 67,33.2175672,126.2564779,064-760-4018,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,남원위미전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 위미중앙로 196번길 22-24,33.2706871,126.6642117,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,남원전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 남원읍 태위로 551-27,33.2779482,126.7044594,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,중문동전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 색달로 199-22,33.2633977,126.4242282,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,강정동전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 강정통물로 55,33.2366013,126.4772906,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,예래전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 하예로 19번길 67,33.2446894,126.380168,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
게이트볼장,제주전지훈련센터 전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 남원읍 신례로 96,33.2771177,126.6413556,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2019-07-29
